Laurent,Agache,M,Tournai-Ath-Mouscron,,23/03/1969,ECOLO,Député
Fatima,Ahallouch,F,Tournai-Ath-Mouscron,,19/10/1981,PS,Député
André,Antoine,M,Nivelles,Leuven,03/02/1960,cdH,Député
Christophe,Bastin,M,Dinant-Philippeville,,29/12/1968,cdH,Député
François,Bellot,M,Dinant-Philippeville,Jemelle,08/02/1954,MR,Député
Alice,Bernard,F,Liège,,08/08/1961,PTB,Député
Alexia,Bertrand,F,Bruxelles,,30/05/1979,MR,Député
John,Beugnies,M,Mons,,06/10/1967,PTB,Député
Olivier,Bierin,M,Liège,,06/12/1985,ECOLO,Député
Nicole,Bomele Nketo,F,Bruxelles,,29/06/1967,DéFI,Député
Martin,Casier,M,Bruxelles,,03/02/1987,PS,Député
Caroline,Cassart-Mailleux,F,Huy-Waremme,Namur,01/06/1973,MR,Député
Delphine,Chabbert,F,Bruxelles,,01/11/1971,PS,Député
Christophe,Clersy,M,Charleroi-Thuin,,02/03/1976,ECOLO,Député
René,Collin,M,Arlon-Marche-Bastogne-Neufchâteau-Virton,,29/04/1958,cdH,Député
Stéphanie,Cortisse,F,Verviers,,05/12/1988,MR,Député
Philippe,Courard,M,Arlon-Marche-Bastogne-Neufchâteau-Virton,,02/09/1966,PS,Député
Veronica,Cremasco,F,Liège,Liège,28/03/1975,ECOLO,Député
Jean-Luc,Crucke,M,Tournai-Ath-Mouscron,Renaix,29/10/1962,MR,Député
Matthieu,Daele,M,Verviers,Verviers,05/02/1981,ECOLO,Député
Frédéric,Daerden,M,Herstal,Montegnée,11/01/1970,PS,"Ministre du Budget, de la Fonction publique, de l'Égalité des chances et de la tutelle sur Wallonie-Bruxelles Enseignement"
Sybille,de Coster-Bauchau,F,Nivelles,Elisabethville,23/02/1953,MR,Député
Margaux,De Re,F,Bruxelles,,18/10/1990,ECOLO,Député
Valérie,Delporte,F,Namur,,20/02/1968,ECOLO,Député
Rodrigue,Demeuse,M,Huy-Waremme,,18/09/1992,ECOLO,Député
Rudy,Demotte,M,Tournai-Ath-Mouscron,Renaix,03/06/1963,PS,Député
Caroline,Désir,F,Bruxelles,Bruxelles,20/10/1976,PS,Ministre de l'Education
François,Desquesnes,M,Soignies-La Louvière,Ath,03/05/1971,cdH,Député
Laurent,Devin,M,Soignies-La Louvière,,16/03/1970,PS,Député
Michele,Di Mattia,M,Soignies-La Louvière,,15/09/1966,PS,Député
Manu,Disabato,M,Mons,Frameries,11/05/1978,ECOLO,Député
Benoît,Dispa,M,Namur,,18/09/1963,cdH,Député
Philippe,Dodrimont,M,Liège,Aywaille,01/06/1964,MR,Député
Manu,Douette,M,Huy-Waremme,,28/06/1977,MR,Député
