titre,text,label
Réponse du ministre du Budget à l’urgence culturelle,"Monsieur le Ministre, votre intervention dans «La Libre» CRI N°17 d’hier a retenu toute mon attention pour trois raisons. Tout d’abord, vous y soulignez le rôle central que vous souhaitez donner ou redonner au secteur culturel au sein de notre société. Vous appelez à une discussion en profondeur sur cet enjeu pour y parvenir. Le groupe Ecolo est particulièrement sensible à cette question.  Ensuite, vous appelez à une union sacrée afin de répondre à l’urgence de la situation de crise que traversent actuellement le secteur culturel et tous ses opérateurs, comédiens et techniciens; vous demandez à l’État fédéral de prendre ses responsabilités, comme l’a fait la Fédération Wallonie-Bruxelles.  Enfin, et ce point me rassure énormément, vous n’entendez pas devenir le ministre de l’austérité budgétaire pour le secteur de la culture. Bien au contraire, vous souhaitez être celui qui investira dans le secteur. Il est essentiel de le rappeler maintenant.  Je souhaiterais obtenir plus d’informations sur le fonds d’urgence de 80 millions d’euros déjà constitué, dont 8.4 millions sont entièrement dévolus au secteur culturel. L’entièreté du fonds est-il déjà affecté aujourd’hui? Envisagez-vous de renforcer encore les mesures de soutien à la culture puisqu'il s’agit d’un des secteurs les plus touchés par la crise en Fédération Wallonie-Bruxelles? Cet investissement a-t-il fait l’objet d’une réflexion plus poussée par votre cabinet et au gouvernement? La création d’un fonds visant au redéploiement culturel est-elle à l’étude?",Budget
Report de la décision du gouvernement sur la pérennisation des repas scolaires gratuits,"Entre mars 2022 et mars 2023, le prix des légumes a augmenté de 40 %. Forcément, cette hausse se ressent partout, y compris sur la fourniture des repas dans les cantines scolaires. Par conséquent se pose le  problème de l’accessibilité de ces repas pour tous les enfants.  Monsieur le Ministre, vous avez dit que votre projet de pérennisation des repas gratuits pour les écoles les plus défavorisées n’a pas reçu l’aval du gouvernement. C’est évidemment très problématique. Pendant ce temps, des enfants restent à l’école le ventre vide. Une famille sur cinq renonce à inscrire ses enfants  aux repas chauds, car ceux-ci coûtent trop cher.  Pour éviter que la situation ne s’aggrave, le PTB a proposé de geler le prix des repas scolaires, avant la rentrée scolaire du mois d’août. La majorité a rejeté  cette idée, prétextant que cela mettrait les écoles en difficulté.  Selon mon groupe et moi-même, cet argument ne tient pas la route, car notre proposition prévoyait aussi que la Communauté française compense la différence pour les écoles concernées. Nous avons estimé que, d’ici la fin de l’année, un tel dispositif coûterait 4 millions d’euros, c’est-à-dire un tiers de ce que la Communauté française a dépensé depuis 2019 en consultances extérieures. Par exemple, les firmes Roland Berger et KPMG ont reçu plus de 1,5 million d’euros pour leurs études sur le budget base zéro. Par conséquent, ce n’est pas une question de moyens, mais de choix politique: comment le gouvernement utilise-t-il  l’argent à disposition? CRI N°17 Dès lors, pourquoi votre projet de pérennisation des repas gratuits dans les écoles défavorisées n’a-t-il pas eu le feu vert du gouvernement? Quelles mesures avez-vous prévues pour garantir l’accessibilité des repas scolaires à la rentrée  prochaine ?",Budget
Soutien aux secteurs de la Fédération Wallonie-Bruxelles face à la crise énergétique,"Préserver la démocratie et former les citoyens de demain, c’est le rôle de la Fédération Wallonie-Bruxelles. Aujourd’hui, nous sommes touchés par une crise énergétique extrêmement grave. Tous les opérateurs de la Fédération en subissent les conséquences, du secteur de la petite enfance à la culture, en passant par le sport, la recherche, l’enseignement  supérieur, l’enseignement obligatoire ou encore les relations internationales.  Nous devons agir à tous les niveaux et pour toutes les personnes, car nous ne pouvons pas nous permettre de perdre des corps intermédiaires à cause de la crise énergétique. Nous devons nous assurer que chaque opérateur engagé sur le  terrain, qu’il s’agisse d’une crèche, d’une université, d’une école, d’un théâtre ou CRI N°3 d’un club sportif, puisse tenir face à cette crise. Nous devons le faire de deux façons: d’abord, assurer que les factures soient les plus allégées possibles afin de permettre aux opérateurs de poursuivre leur action; ensuite, garantir à ces opérateurs une transition la plus rapide possible, pour leur permettre d’être résilients et de ne pas devoir subir des factures énergétiques trop importantes dans  les années à venir.  Monsieur le Ministre, avez-vous prévu d'effectuer une analyse par secteur, pour chaque opérateur, de manière transversale et sans hiérarchie? Comment construisez-vous les outils pour déterminer les secteurs qui sont touchés? Comment vous informez-vous de la réalité de la situation dans ces secteurs? Quels outils et quels cadastres utilisez-vous? Enfin, confirmez-vous que vous agissez sur deux plans: alléger la facture et rendre notre Fédération plus résiliente face aux  factures énergétiques ? ",Budget
Centre culturel de Brainel’Alleud,"j’avais espéré ne plus devoir revenir sur ce sujet et ne plus être amené à vous interroger sur le centre culturel de Braine-l’Alleud. Force est de constater que d’aucuns s’acharnent, avec une réelle hargne, à vouloir non pas apaiser les choses, mais au contraire mettre de  l'huile sur le feu et reprendre une dynamique destructrice et négative.  Nous avions déjà discuté de ce sujet en réunion de commission et en séance plénière. Les nouveaux statuts, qui étaient suffisamment clairs et précis, ont fait des allers et retours à plusieurs reprises. Nous nous retrouvons aujourd’hui avec des statuts, largement adoptés par l’assemblée générale, qui prévoient que l’échevine chargée de la culture de Braine-l’Alleud soit présidente du centre culturel. Pareille mesure a été prise par d’autres centres culturels. Mme Versmissen a jugé utile de sortir deux caisses de cartons remplies de documents comptables, ainsi qu’une douzaine de classeurs concernant la gestion du centre culturel de 2019 qui fait aujourd’hui l’objet d’une information judiciaire. S’agit-il d’une situation régulière? Le Code des sociétés et des associations ne le prévoit pas. Que du contraire, une autorisation est nécessaire pour sortir des pièces comptables, ce qui est d’ailleurs repris in extenso dans les fameux statuts qui ont été  votés.  Madame la Ministre, êtes-vous informée de la situation? Auriez-vous à nouveau été sollicitée, d’une manière ou d’une autre? À l’époque, vous aviez proposé un manager de crise. Qu'en est-il aujourd’hui? Quel est votre avis sur ces éléments? Manifestement, nous voilà repartis pour un feuilleton et une série qui, à mon avis, durera encore un certain temps. D’aucuns se moquent de l'institution, ou  en tout cas de l’avenir de ses travailleurs, ce que je regrette profondément.",Culture et média 
Dépenses culturelles montoises en pleine crise énergétique,"Dans le contexte de crise énergétique, l’ensemble des communes réfléchissent à deux fois avant de se lancer dans des projets culturels d'envergure. La culture permet certes d'échapper à la morosité ambiante et  engendre des retombées économiques et touristiques, mais à quel prix?  Deux projets développés par la ville de Mons m'interpellent: l’un consiste en l’installation d’une œuvre sur la place Léopold, à côté de la future gare, pour un montant de 450 000 euros; l’autre vise l’organisation d’un festival des lumières, en pleine crise énergétique, à concurrence de 6 millions d’euros financés par le Fonds  européen de développement économique et régional .  Avez-vous connaissance de ces projets d’envergure, Madame la Ministre? Ne serait-il pas opportun de rediriger ces moyens vers les institutions culturelles qui en ont tant besoin pour survivre? Quelle position la Fédération Wallonie -Bruxelles  défend-elle par rapport à ce genre de projets?",Culture et média 
Potentielle augmentation du coût des travaux du Grand Théâtre de Verviers,"La presse s’est fait l’écho d’une augmentation potentielle du coût des travaux liés à la rénovation du Grand Théâtre de Verviers ainsi qu’à la construction d’une annexe. Ce théâtre est important pour la ville qui se relève avec difficulté des inondations. Bien entendu, cet espace est également important pour la culture.  L'augmentation serait substantielle puisque les coûts de travaux estimés à 33 millions d’euros grimperaient à quelque 45 millions d’euros. Ce surcoût de 12 millions d’euros serait lié à la hausse des prix de l’énergie et des matériaux, à  la suite de la guerre en Ukraine.  Madame la Ministre, avez-vous connaissance d’une potentielle augmentation du coût des travaux? La Fédération Wallonie-Bruxelles pourrait-elle intervenir ou la ville de Verviers devra-t-elle assumer seule cette hausse de coût? Je connais les difficultés budgétaires de la Fédération. Quel est le calendrier des travaux, compte tenu de l’éventuel surcoût? Je le répète: la culture et la ville de Verviers  en particulier ont grand besoin de ce lieu.",Culture et média 
Plan d’économies aux Éditions de l’Avenir,"Durant cette législature de toutes les crises, tous les secteurs de la Fédération Wallonie-Bruxelles vont encore subir une nouvelle crise de plein fouet. Nous avons lu ce matin dans la presse que les Éditions de l'Avenir ont présenté un plan d'économies visant à épargner un million d’euros en 2023. En cause: la hausse du coût de l'énergie et la baisse des revenus publicitaires. Mis à mal depuis l’arrivée des GAFAN , nos médias font face à une concurrence déloyale du monde  numérique.  Madame la Ministre, aviez-vous connaissance de la réflexion menée au sein des EDA? En avez-vous rencontré les responsables? À deux semaines du conclave budgétaire, où en sont vos réflexions sur ces médias? Les médias jouent un rôle tellement important dans notre démocratie, encore plus à l’heure où la Flandre, l'Italie et la France — lors du premier tour des dernières élections et encore plus  lors du second — votent à l’extrême droite.",Culture et média 
Cri d’alarme de milieux d’accueil face à la hausse des coûts,"La faillite de NeoKïids Belgium et la fermeture de ses quinze crèches en Belgique entraîneront la perte d'emploi d’une centaine de personnes et la perte de places d’accueil pour les enfants de près de 400 familles. Parmi les facteurs qui auraient mené à la faillite, on évoque une dette structurelle importante, un manque de liquidités et de personnel. La réforme des milieux d’accueil de la petite enfance serait également mise  en cause.  Madame la Ministre, avez-vous rencontré les représentants de cette société? L'Office de la naissance et de l’enfance a créé une cellule de crise afin de dégager des pistes de solution. Avez-vous déjà eu un retour de la part de l'ONE? Quant au personnel menacé de perdre son emploi, avez-vous eu des contacts  avec les ministres bruxellois et wallon de l'Emploi?  Cette situation dramatique met de nouveau en avant les difficultés des milieux d'accueil non subventionnés, ainsi que des milieux d’accueil privés et des accueillantes d’enfants indépendantes. Certes, le gouvernement a déjà pris certaines mesures. Selon vous, le gouvernement pourrait-il envisager d’autres solutions pour aider ces différentes structures tant nécessaires, particulièrement  en cette période compliquée où le manque de places d’accueil est criant?",Enfance
Pénurie de places en crèches,"Depuis des années, la pénurie de places en crèches est un souci pour de nombreuses familles et un thème récurrent à l’époque de la rentrée. Cependant, elle semble s’aggraver d’année en année et atteindre désormais un niveau inquiétant. Les raisons de ce phénomène sont le manque de bâtiments adaptés, l'insuffisance de subventions pour la création de crèches même si des aides ont déjà été octroyées à ce poste, la pénurie de puéricultrices, d’accueillantes et en général de personnes intéressées par ces métiers. La France fait également face à un déficit criant d’effectifs, qu’on surnomme  «la grande démission».  Madame la Ministre, comment éviter une telle situation en Belgique? Comment sortir de la pénurie, alors que les demandes dépassent largement l'offre? Comment inciter à la création de crèches, notamment privées? Comment redonner de  l'intérêt pour un métier si important ? ",Enfance
Situation financière des gardiennes d’enfants,"Les gardiennes d’enfants ont eu et ont encore un rôle essentiel au cours de la crise liée au Covid-19, particulièrement pour garder les enfants des parents occupant une fonction de première ligne. Pourtant, la différence de traitement entre les gardiennes sans statut et celles qui font partie d’une crèche est flagrante; en effet, le salaire des puéricultrices travaillant au sein d’un milieu d’accueil est resté garanti, tandis que les gardiennes privées ont vu leurs rentrées chuter, parfois de manière catastrophique. Certaines ont subi des pertes pouvant atteindre un montant de 1 500 euros nets par mois et n’ont bénéficié d’aucune aide ou compensation.  Madame la Ministre, avez-vous pris contact avec ces gardiennes sans statut? Quelles pistes envisagez-vous pour intervenir en leur faveur?",Enfance
